# Citizen Ledger — state budget — COMPLETE LAYER EXPORT
# Source dataset: Enacted state budgets, Budgetary-Legal basis (California Department of Finance, ebudget.ca.gov)
# Accounting basis: Enacted appropriations on California's Budgetary-Legal basis, with Department of Finance prior-year actuals on the identical basis where published
# Gate tier: GATED — reproduces the Department of Finance's own statewide total
# Units: billions of dollars
# Measured as: ENACTED APPROPRIATIONS ON CALIFORNIA'S BUDGETARY-LEGAL BASIS, WITH DEPARTMENT OF FINANCE PRIOR-YEAR ACTUALS ON THE IDENTICAL BASIS WHERE PUBLISHED · BILLIONS OF DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · GATED
# Data generated: 2026-07-24
# Exported: 2026-07-28
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A row with an empty department is the AGENCY total, not a department. Do not sum agency rows and department rows together.
# Actuals arrive about six and a half months after a year ends, so the newest years carry enacted figures only — those actual_* cells are empty, not zero.
fiscal_year,agency,department,department_code,enacted_general_fund_busd,enacted_special_funds_busd,enacted_bond_funds_busd,enacted_federal_funds_busd,actual_general_fund_busd,actual_special_funds_busd,actual_bond_funds_busd,actual_federal_funds_busd
2017-18,Health and Human Services,Emergency Medical Services Authority,4120,0.009,0.004,0,0.006,,,,
2017-18,Health and Human Services,"Health, Human Services Agency, Secy",0530,0.004,0.002,0,0.003,0.004,0.002,0,0
2017-18,Health and Human Services,State Council-Developmental Disabilities,4100,0,0,0,0.007,,,,
2017-18,Health and Human Services,California Senior Legislature,4185,0.001,0,0,0,,,,
2017-18,Health and Human Services,Commission on Aging,4180,0,0,0,0,,,,
2017-18,Health and Human Services,California Health Benefit Exchange,4800,0,0,0,0,,,,
2017-18,Health and Human Services,State Independent Living Council,5170,0,0,0,0,,,,
2017-18,K thru 12 Education,,,53.459,0.109,0.658,7.66,53.639,0.05,0.603,7.486
2017-18,K thru 12 Education,Department of Education,6100,48.251,0.078,0.003,7.642,48.194,0.018,0.002,7.467
2017-18,K thru 12 Education,Teachers Retirement System Contributions,6300,2.79,0,0,0,2.79,0,0,0
2017-18,K thru 12 Education,School Facilities Aid Program,6350,0,0,0.655,0,0,0.006,0.601,0
2017-18,K thru 12 Education,Commission on Teacher Credentialing,6360,0.025,0.031,0,0,0.15,0.025,0,0
2017-18,K thru 12 Education,State Library,6120,0.034,0.001,0,0.018,0.033,0.001,0,0.018
2017-18,K thru 12 Education,Scholarshare Investment Board,0954,0.003,0,0,0,0,0,0,0
2017-18,K thru 12 Education,Summer School for the Arts,6255,0.001,0,0,0,0.001,0,0,0
2017-18,K thru 12 Education,Education Audit Appeals Panel,6125,0.001,0,0,0,0.001,0,0,0
2017-18,Higher Education,,,14.892,0.177,0.327,5.159,14.852,0.208,0.284,5.22
2017-18,Higher Education,University of California,6440,3.543,0.163,0,3.774,3.57,0.196,0,3.762
2017-18,Higher Education,Board of Governors of Community Colleges,6870,5.668,0.007,0.052,0,5.77,0.005,0.02,0
2017-18,Higher Education,California State University,6610,3.41,0.002,0.006,1.385,3.474,0.002,0,1.458
2017-18,Higher Education,Student Aid Commission,6980,1.188,0.006,0,0,1.185,0.005,0,0
2017-18,Higher Education,"CSU Health Benefits, Retired Annuitants",6645,0.294,0,0,0,0.285,0,0,0
2017-18,Higher Education,Institute for Regenerative Medicine,6445,0,0,0.269,0,0,0,0.265,0
2017-18,Higher Education,Hastings College of the Law,6600,0.013,0,0,0,0.013,0,0,0
2017-18,Higher Education,Awards for Innovation in Higher Ed,6910,0,0,0,0,,,,
2017-18,Transportation,,,0.245,11.881,0.863,5.043,0.213,10.021,0.264,4.517
2017-18,Transportation,Department of Transportation,2660,0,5.606,0.193,4.923,0,4.198,0.047,4.34
2017-18,Transportation,Dept of the California Highway Patrol,2720,0,2.341,0,0.021,0,2.257,0,0.015
2017-18,Transportation,High-Speed Rail Authority,2665,0,0.475,0.62,0,0,0.057,0.208,0.069
2017-18,Transportation,Department of Motor Vehicles,2740,0.002,1.081,0,0.003,0.002,1.099,0,0
2017-18,Transportation,State Transit Assistance,2640,0,0.649,0.025,0,0,0.702,0.009,0
2017-18,Transportation,"Transportation, Secy",0521,0.004,0.178,0,0.097,0.004,0.212,0,0.093
2017-18,Transportation,California Transportation Commission,2600,0,0.005,0.025,0,0,0.004,0.001,0
2017-18,Transportation,Board of Pilot Commissioners,2670,0,0.002,0,0,0,0.002,0,0
2017-18,Corrections and Rehabilitation,,,11.228,2.641,0,0.049,11.616,2.709,0,0.062
2017-18,Corrections and Rehabilitation,Corrections and Rehabilitation,5225,11.149,-0.001,0,0.002,11.536,-0.001,0,0.002
2017-18,Corrections and Rehabilitation,Board of State and Community Corrections,5227,0.063,0.029,0,0.047,0.064,0.002,0,0.009
2017-18,Corrections and Rehabilitation,Prison Industry Authority,5420,0,0,0,0,,,,
2017-18,General Government,,,2.731,5.119,0.007,0.3,1.527,3.975,0.001,0.291
2017-18,General Government,Shared Revenues,9350,0,1.914,0,0.035,,,,
2017-18,General Government,"Health, Dental Benefits for Annuitants",9650,1.769,0,0,0,,,,
2017-18,General Government,Public Utilities Commission,8660,0,1.742,0,0.009,,,,
2017-18,General Government,Augmentation for Employee Compensation,9800,0.623,0.389,0,0,,,,
2017-18,General Government,Department of Food and Agriculture,8570,0.108,0.215,0.001,0.103,,,,
2017-18,General Government,Department of Veterans Affairs,8955,0.391,-0.003,0.006,0.03,,,,
2017-18,General Government,Tax Relief,9100,0.427,-0.006,0,0,,,,
2017-18,General Government,Military Department,8940,0.06,0.002,0,0.123,,,,
2017-18,General Government,Financial Information System for CA,8880,0.086,0.015,0,0,,,,
2017-18,General Government,Department of Finance,8860,0.042,0,0,0,,,,
2017-18,General Government,Commission on State Mandates,8885,0.037,0.002,0,0,,,,
2017-18,General Government,Contingencies-Emergencies Augmentation,9840,0.02,0.015,0,0,,,,
2017-18,General Government,Cash Management and Budgetary Loans,9620,0.025,0,0,0,,,,
2017-18,General Government,Arts Council,8260,0.016,0.002,0,0.001,,,,
2017-18,General Government,California State Auditor's Office,8855,0.019,0,0,0,,,,
2017-18,General Government,State Public Defender,8140,0.013,0,0,0,,,,
2017-18,General Government,Fair Political Practices Commission,8620,0.011,0,0,0,,,,
2017-18,General Government,Trial Court Security-Court Construction,9285,0.007,0,0,0,,,,
2017-18,General Government,Interest Payments to the Federal Govt,9625,0.005,0.001,0,0,,,,
2017-18,General Government,Political Reform Act of 1974,8640,0.003,0,0,0,,,,
2017-18,General Government,"Peace Officer Standards, Training Comm",8120,0,0.002,0,0,,,,
2017-18,General Government,Milton Marks Little Hoover Commission,8780,0.001,0,0,0,,,,
2017-18,General Government,"Capital Outlay Planning, Studies",9860,0.001,0,0,0,,,,
2017-18,General Government,Comm on the Status of Women and Girls,8820,0.001,0,0,0,,,,
2017-18,General Government,Trial Court Security - Judgeships,9286,0,0,0,0,,,,
2017-18,General Government,Local Government Financing,9210,0,0,0,0,,,,
2017-18,General Government,Citizens Compensation Commission,8385,0,0,0,0,,,,
2017-18,General Government,Payment to Counties for Homicide Trials,9300,0,0,0,0,,,,
2017-18,General Government,Enhanced Tobacco Asset-Backed Bonds,9612,0,0,0,0,,,,
2017-18,General Government,Historic State Capitol Commission,8270,0,0,0,0,,,,
2017-18,General Government,State Compensation Insurance Fund,8420,0,0,0,0,,,,
2017-18,General Government,CA Commission on Disability Access,8790,0,0,0,0,,,,
2017-18,General Government,Law Revision Commission,8830,0,0,0,0,,,,
2017-18,General Government,Debt Service GO Bonds Commercial Paper,9600,0,0,0,0,,,,
2017-18,General Government,Lease-Rev Notes and Bonds,9610,0,0,0,0,,,,
2017-18,General Government,Prefunding Hlth-Dental Bens Annuitants,9651,0,0,0,0,,,,
2017-18,General Government,Budget Stabilization Account,9658,0,0,0,0,,,,
2017-18,General Government,Victim Compensation Government Claims Bd,9670,0,0,0,0,,,,
2017-18,General Government,Federal Levy of State Funds,9818,0,0,0,0,,,,
2017-18,General Government,Reserve for Liquidation of Encumbrances,9885,0,0,0,0,,,,
2017-18,General Government,Statewide General Admin Exp (Pro Rata),9900,-0.71,0.602,0,0,,,,
2017-18,"Legislative, Judicial, and Executive",,,3.45,3.173,0.121,1.109,3.301,2.618,0.034,1.081
2017-18,"Legislative, Judicial, and Executive",Judicial Branch,0250,1.678,1.901,0,0.007,1.735,1.813,0,0.003
2017-18,"Legislative, Judicial, and Executive",Office of Emergency Services,0690,0.18,0.116,0.003,0.999,0.312,0.111,0.001,0.984
2017-18,"Legislative, Judicial, and Executive",Department of Justice,0820,0.227,0.359,0,0.042,0.235,0.346,0,0.038
2017-18,"Legislative, Judicial, and Executive",State Board of Equalization,0860,0.335,0.128,0,0,0.027,0,0,0
2017-18,"Legislative, Judicial, and Executive",Office of Planning and Research,0650,0.015,0.3,0,0.028,0.009,0.002,0,0.036
2017-18,"Legislative, Judicial, and Executive",Judges Retirement System Contributions,0390,0.273,0,0,0,0.279,0,0,0
2017-18,"Legislative, Judicial, and Executive",Department of Insurance,0845,0.008,0.264,0,0,0.009,0.261,0,0
2017-18,"Legislative, Judicial, and Executive",Health Facilities Financing Authority,0977,0.068,0.021,0.116,0,0,0.004,0.031,0
2017-18,"Legislative, Judicial, and Executive",Assembly,0120,0.177,0,0,0,0.177,0,0,0
2017-18,"Legislative, Judicial, and Executive",Senate,0110,0.134,0,0,0,0.134,0,0,0
2017-18,"Legislative, Judicial, and Executive",School Finance Authority,0985,0.113,0,0.001,0.02,0.134,0,0.001,0.011
2017-18,"Legislative, Judicial, and Executive",Secretary of State,0890,0.037,0.054,0,0.011,0.036,0.053,0,0.008
2017-18,"Legislative, Judicial, and Executive",Legislative Counsel Bureau,0160,0.083,0,0,0,0.086,0,0,0
2017-18,"Legislative, Judicial, and Executive",State Controller,0840,0.06,0.01,0.001,0.001,0.063,0.01,0,0.001
2017-18,"Legislative, Judicial, and Executive",Office of the Inspector General,0552,0.023,0,0,0,0.023,0,0,0
2017-18,"Legislative, Judicial, and Executive","Governors Office of Bus, Econ Developm",0509,0.015,0,0,0,0.013,0,0,0
2017-18,"Legislative, Judicial, and Executive",Governors Office,0500,0.014,0,0,0,0.014,0,0,0
2017-18,"Legislative, Judicial, and Executive",Tax Credit Allocation Committee,0968,0,0.008,0,0,0,0.007,0,0
2017-18,"Legislative, Judicial, and Executive",Gambling Control Commission,0855,0,0.007,0,0,0,0.006,0,0
2017-18,"Legislative, Judicial, and Executive",State Treasurer,0950,0.005,0,0.001,0,0.004,0,0,0
2017-18,"Legislative, Judicial, and Executive",Commission on Judicial Performance,0280,0.005,0,0,0,0.005,0,0,0
2017-18,"Legislative, Judicial, and Executive",Debt Investment Advisory Commission,0956,0,0.004,0,0,0,0.003,0,0
2017-18,"Legislative, Judicial, and Executive",Debt Limit Allocation Committee,0959,0,0.002,0,0,0,0.001,0,0
2017-18,"Legislative, Judicial, and Executive",Office of the Lieutenant Governor,0750,0.001,0,0,0,0.001,0,0,0
2017-18,"Legislative, Judicial, and Executive","Alt Energy, Advanced Trans Fin Auth",0971,0,0,0,0,0,0,0,0
2017-18,"Legislative, Judicial, and Executive",Educational Facilities Authority,0989,0,0,0,0,0,0,0,0
2017-18,"Legislative, Judicial, and Executive",Citizens Redistricting Initiative,0911,0,0,0,0,0,0,0,0
2017-18,"Legislative, Judicial, and Executive",Industrial Dvlmt Financing Advisory Comm,0965,0,0,0,0,0,0,0,0
2017-18,"Legislative, Judicial, and Executive",Joint Expenses,0130,0,0,0,0,0,0,0,0
2017-18,"Legislative, Judicial, and Executive",Legislators' Retirement Sys Contribution,0150,0,0,0,0,,,,
2017-18,"Legislative, Judicial, and Executive",State Lottery Commission,0850,0,0,0,0,,,,
2017-18,"Legislative, Judicial, and Executive",Transportation Financing Authority,0964,0,0,0,0,,,,
2017-18,"Legislative, Judicial, and Executive",Pollution Control Financing Authority,0974,0,0,0,0,,,,
2017-18,"Legislative, Judicial, and Executive",California ABLE Act Board,0981,0,0,0,0,,,,
2017-18,"Legislative, Judicial, and Executive",Urban Waterfront Restoration Fin Auth,0983,0,0,0,0,,,,
2017-18,"Legislative, Judicial, and Executive",Secure Choice Retirement Svngs Invst Brd,0984,0,0,0,0,,,,
2017-18,Labor and Workforce Development,,,0.129,0.718,0,6.999,0.145,0.655,0,6.132
2017-18,Labor and Workforce Development,Employment Development Department,7100,0.109,0.17,0,6.957,0.126,0.162,0,6.095
2017-18,Labor and Workforce Development,Department of Industrial Relations,7350,0,0.539,0,0.038,0,0.488,0,0.034
2017-18,Labor and Workforce Development,California Workforce Development Board,7120,0,0.008,0,0.004,0,0.003,0,0.004
2017-18,Labor and Workforce Development,Public Employment Relations Board,7320,0.011,0,0,0,0.01,0,0,0
2017-18,Labor and Workforce Development,Agricultural Labor Relations Board,7300,0.009,0.001,0,0,0.008,0.001,0,0
2017-18,Labor and Workforce Development,"Labor and Workforce Development, Secy",0559,0,0,0,0,0,0,0,0
2017-18,Natural Resources,,,2.878,1.47,0.848,0.3,3.127,1.689,1.118,0.316
2017-18,Natural Resources,"Department of Forestry, Fire Protection",3540,1.268,0.135,0,0.021,1.418,0.303,0,0.006
2017-18,Natural Resources,"Department of Parks, Recreation",3790,0.152,0.373,0.092,0.102,0.212,0.367,0.049,0.157
2017-18,Natural Resources,Department of Water Resources,3860,0.13,0.035,0.394,0.012,0.212,0.024,0.317,0.004
2017-18,Natural Resources,"Energy Resource Conservation,Dvlmt Comm",3360,0,0.471,0,0.019,0.018,0.402,0,0.007
2017-18,Natural Resources,Department of Fish and Wildlife,3600,0.092,0.219,0.062,0.08,0.105,0.242,0.093,0.082
2017-18,Natural Resources,Wildlife Conservation Board,3640,0.02,0.005,0.065,0.035,0.021,0.054,0.386,0.035
2017-18,Natural Resources,California Conservation Corps,3340,0.066,0.054,0,0,0.047,0.063,0,0
2017-18,Natural Resources,Department of Conservation,3480,0.003,0.111,0.002,0.003,0.004,0.157,0.005,0.003
2017-18,Natural Resources,"Natural Resources Agency, Secy",0540,0.021,0.015,0.054,0.009,0.008,0.009,0.12,0
2017-18,Natural Resources,State Coastal Conservancy,3760,0.015,0.005,0.039,0.009,0.015,0.023,0.11,0.018
2017-18,Natural Resources,"San Gabriel,Lower LA River,Mtns Consvcy",3825,0,0,0.06,0,0,0,0.006,0
2017-18,Natural Resources,Santa Monica Mountains Conservancy,3810,0.004,0.001,0.053,0,0.004,0,0.015,0
2017-18,Natural Resources,State Lands Commission,3560,0.025,0.019,0,0,0.025,0.017,0,0
2017-18,Natural Resources,Science Center,3100,0.022,0.011,0,0,0.022,0.011,0,0
2017-18,Natural Resources,Delta Stewardship Council,3885,0.019,0.001,0,0.003,0.02,0.001,0,0
2017-18,Natural Resources,Coastal Commission,3720,0.016,0.003,0,0.003,0.017,0.004,0,0.003
2017-18,Natural Resources,Sierra Nevada Conservancy,3855,0,0.004,0.009,0,0,0.005,0.004,0
2017-18,Natural Resources,Tahoe Conservancy,3125,0,0.006,0.003,0.003,0,0.006,0.006,0.002
2017-18,Natural Resources,Sacramento-San Joaquin Delta Conservancy,3875,0.001,0,0.01,0.001,0.001,0,0.001,0.001
2017-18,Natural Resources,"SF Bay Conservation, Development Comm",3820,0.006,0,0,0,0.006,0,0,0
2017-18,Natural Resources,Baldwin Hills Conservancy,3835,0,0,0.005,0,0,0,0.004,0
2017-18,Natural Resources,Special Resources Programs,3110,0.004,0.001,0,0,0.004,0.001,0,0
2017-18,Natural Resources,Coachella Valley Mountains Conservancy,3850,0,0,0.002,0,0,0,0.001,0
2017-18,Natural Resources,Native American Heritage Commission,3780,0.002,0,0,0,0.002,0,0,0
2017-18,Natural Resources,Delta Protection Commission,3840,0,0.001,0,0,0,0.001,0,0
2017-18,Natural Resources,San Joaquin River Conservancy,3830,0,0,0,0,0,0,0,0
2017-18,Natural Resources,San Diego River Conservancy,3845,0,0,0,0,0,0,0.003,0
2017-18,Natural Resources,Environmental Protection Program,3210,0,0,0,0,,,,
2017-18,Natural Resources,Renewable Resources Investment Program,3370,0,0,0,0,,,,
2017-18,Natural Resources,Colorado River Board of California,3460,0,0,0,0,,,,
2017-18,Environmental Protection,,,0.098,3.063,0.025,0.386,0.159,3.533,0.515,0.232
2017-18,Environmental Protection,Resources Recycling and Recovery,3970,0,1.561,0,0,0.066,1.56,0,0
2017-18,Environmental Protection,State Water Resources Control Board,3940,0.052,0.544,0.023,0.33,0.049,0.456,0.513,0.188
2017-18,Environmental Protection,Air Resources Board,3900,0,0.619,0.002,0.017,0,1.253,0.002,0.012
2017-18,Environmental Protection,Department of Toxic Substances Control,3960,0.034,0.211,0,0.034,0.032,0.136,0,0.028
2017-18,Environmental Protection,Department of Pesticide Regulation,3930,0,0.098,0,0.002,0,0.1,0,0.002
2017-18,Environmental Protection,Environmental Health Hazard Assessment,3980,0.005,0.016,0,0,0.005,0.014,0,0
2017-18,Environmental Protection,"Environmental Protection, Secy",0555,0.003,0.014,0,0.002,0.003,0.014,0,0
2017-18,"Business, Consumer Services, and Housing",,,0.41,0.86,0.414,0.137,0.409,0.881,0.079,0.083
2017-18,"Business, Consumer Services, and Housing",Department of Consumer Affairs,1111,0,0.653,0,0,0,0.654,0,0
2017-18,"Business, Consumer Services, and Housing","Dept of Housing, Community Development",2240,0.037,0.031,0.414,0.131,0.038,0.048,0.079,0.079
2017-18,"Business, Consumer Services, and Housing",Department of Business Oversight,1701,0,0.091,0,0,0,0.093,0,0
2017-18,"Business, Consumer Services, and Housing",Department of Alcoholic Beverage Control,2100,0,0.067,0,0,0,0.069,0,0
2017-18,"Business, Consumer Services, and Housing","Department of Fair Employment, Housing",1700,0.022,0,0,0.006,0.023,0,0,0.004
2017-18,"Business, Consumer Services, and Housing",Horse Racing Board,1750,0,0.013,0,0,0,0.014,0,0
2017-18,"Business, Consumer Services, and Housing","Seismic Safety Commission, A. E. Alquist",1690,0,0.001,0,0,0,0.001,0,0
2017-18,"Business, Consumer Services, and Housing",Alcoholic Beverage Control Appeals Board,2120,0,0.001,0,0,0,0.001,0,0
2017-18,"Business, Consumer Services, and Housing",Cannabis Control Appeals Panel,1045,0,0.001,0,0,0,0.001,0,0
2017-18,"Business, Consumer Services, and Housing","Business, Consumer Svcs, Housing, Scty",0515,0,0.001,0,0,0,0.001,0,0
2017-18,"Business, Consumer Services, and Housing","Department of Consumer Affairs, Boards",1110,0,0,0,0,,,,
2017-18,Government Operations,,,0.748,0.231,0.006,0.025,1.078,0.287,0.006,0.021
2017-18,Government Operations,Franchise Tax Board,7730,0.718,0.021,0,0,0.754,0.02,0,0
2017-18,Government Operations,Department of General Services,7760,0.013,0.109,0.006,0,0.02,0.1,0.006,0
2017-18,Government Operations,California Victim Compensation Board,7870,0,0.1,0,0.025,0,0.094,0,0.021
2017-18,Government Operations,Department of Human Resources,7501,0.008,0,0,0,0.008,0,0,0
2017-18,Government Operations,Department of Technology,7502,0.005,0,0,0,0.005,0,0,0
2017-18,Government Operations,Office of Administrative Law,7910,0.002,0,0,0,0.002,0,0,0
2017-18,Government Operations,"Government Operations, Secretary",0511,0.001,0,0,0,0.001,0,0,0
2017-18,Government Operations,State Personnel Board,7503,0.001,0,0,0,0.001,0,0,0
2017-18,Government Operations,Public Employees' Retirement System,7900,0,0,0,0,0,0,0,0
2017-18,Government Operations,State Teachers' Retirement System,7920,0,0,0,0,,,,
2018-19,Health and Human Services,,,39.491,24.842,0,78.619,35.08,25.293,0,69.765
2018-19,Health and Human Services,State Department of Health Care Services,4260,23.409,12.028,0,68.144,,,,
2018-19,Health and Human Services,Department of Social Services,5180,9.023,0.041,0,7.505,,,,
2018-19,Health and Human Services,"State-Local Realignment, 1991",5195,0,5.871,0,0,,,,
2018-19,Health and Human Services,"State-Local Realignment, 2011",5196,0,5.178,0,0,,,,
2018-19,Health and Human Services,Department of Developmental Services,4300,4.502,0.004,0,0.056,,,,
2018-19,Health and Human Services,Department of Public Health,4265,0.175,1.047,0,1.543,,,,
2018-19,Health and Human Services,Department of State Hospitals,4440,1.733,0,0,0,,,,
2018-19,Health and Human Services,Department of Child Support Services,5175,0.319,0,0,0.533,,,,
2018-19,Health and Human Services,Department of Rehabilitation,5160,0.065,0.001,0,0.384,,,,
2018-19,Health and Human Services,Children and Families Commission,4250,0,0.404,0,0,,,,
2018-19,Health and Human Services,Community Services and Development,4700,0,0.026,0,0.287,,,,
2018-19,Health and Human Services,"Statewide Health Planning, Development",4140,0.093,0.112,0,0.001,,,,
2018-19,Health and Human Services,Department of Aging,4170,0.036,0.005,0,0.151,,,,
2018-19,Health and Human Services,Department of Managed Health Care,4150,0,0.081,0,0,,,,
2018-19,Health and Human Services,Mental Hlth Svcs Ovrst and Acntblty Comm,4560,0,0.037,0,0,,,,
2018-19,Health and Human Services,Emergency Medical Services Authority,4120,0.009,0.004,0,0.006,,,,
2018-19,Health and Human Services,"Health, Human Services Agency, Secy",0530,0.011,0.002,0,0,0.005,0.002,0,0
2018-19,Health and Human Services,State Council-Developmental Disabilities,4100,0,0,0,0.007,,,,
2018-19,Health and Human Services,Commission on Aging,4180,0,0,0,0,,,,
2018-19,Health and Human Services,California Senior Legislature,4185,0,0,0,0,,,,
2018-19,Health and Human Services,California Health Benefit Exchange,4800,0,0,0,0,,,,
2018-19,Health and Human Services,State Independent Living Council,5170,0,0,0,0,,,,
2018-19,K thru 12 Education,,,55.919,0.106,0.656,8.266,58.183,0.05,0.632,8.232
2018-19,K thru 12 Education,Department of Education,6100,50.391,0.074,0.003,8.248,50.291,0.084,0.003,8.213
2018-19,K thru 12 Education,Teachers Retirement System Contributions,6300,3.082,0,0,0,5.328,0,0,0
2018-19,K thru 12 Education,School Facilities Aid Program,6350,0.1,0,0.653,0,0.1,-0.063,0.629,0
2018-19,K thru 12 Education,State Library,6120,0.042,0.001,0,0.018,0.043,0.001,0,0.019
2018-19,K thru 12 Education,Commission on Teacher Credentialing,6360,0,0.03,0,0,0,0.028,0,0
2018-19,K thru 12 Education,Summer School for the Arts,6255,0.001,0,0,0,0.001,0,0,0
2018-19,K thru 12 Education,Education Audit Appeals Panel,6125,0.001,0,0,0,0.001,0,0,0
2018-19,K thru 12 Education,Scholarshare Investment Board,0954,0,0,0,0,0,0,0,0
2018-19,Higher Education,,,16.081,0.173,0.335,5.175,15.827,0.041,0.304,5.406
2018-19,Higher Education,University of California,6440,3.729,0.16,0,3.776,3.743,0.028,0,3.91
2018-19,Higher Education,Board of Governors of Community Colleges,6870,6.158,0.006,0.066,0,6.211,0.007,0.096,0
2018-19,Higher Education,California State University,6610,3.753,0.002,0,1.4,3.781,0.002,0,1.496
2018-19,Higher Education,Student Aid Commission,6980,1.302,0.006,0,0,1.189,0.005,0,0
2018-19,Higher Education,"CSU Health Benefits, Retired Annuitants",6645,0.311,0,0,0,0.313,0,0,0
2018-19,Higher Education,Institute for Regenerative Medicine,6445,0,0,0.269,0,0,0,0.208,0
2018-19,Higher Education,Hastings College of the Law,6600,0.02,0,0,0,0.02,0,0,0
2018-19,Higher Education,Awards for Innovation in Higher Ed,6910,0,0,0,0,,,,
2018-19,Transportation,,,0.25,13.988,0.636,6.326,0.234,12.527,0.976,4.56
2018-19,Transportation,Department of Transportation,2660,0,6.727,0.228,6.205,0,6.215,0.136,4.417
2018-19,Transportation,Dept of the California Highway Patrol,2720,0,2.457,0,0.021,0.008,2.385,0,0.016
2018-19,Transportation,High-Speed Rail Authority,2665,0,0.793,0.382,0,0,0.068,0.809,0
2018-19,Transportation,Department of Motor Vehicles,2740,0.003,1.161,0,0.003,0.004,1.222,0,0
2018-19,Transportation,State Transit Assistance,2640,0,0.966,0.017,0,0,0.918,0.03,0
2018-19,Transportation,"Transportation, Secy",0521,0.021,0.291,0,0.097,0.021,0.196,0,0.127
2018-19,Transportation,California Transportation Commission,2600,0,0.005,0.009,0,0,0.005,0.002,0
2018-19,Transportation,Board of Pilot Commissioners,2670,0,0.002,0,0,0,0.003,0,0
2018-19,Corrections and Rehabilitation,,,12.091,2.909,0,0.049,12.427,2.874,0,0.071
2018-19,Corrections and Rehabilitation,Corrections and Rehabilitation,5225,11.874,0,0,0.002,12.309,0,0,0.001
2018-19,Corrections and Rehabilitation,Board of State and Community Corrections,5227,0.181,0.042,0,0.047,0.093,0.084,0,0.008
2018-19,Corrections and Rehabilitation,Prison Industry Authority,5420,0,0,0,0,,,,
2018-19,General Government,,,4.27,6.021,0.035,0.263,2.551,5.851,0.035,0.358
2018-19,General Government,Shared Revenues,9350,0,2.595,0,0.015,,,,
2018-19,General Government,"Health, Dental Benefits for Annuitants",9650,1.887,0,0,0,,,,
2018-19,General Government,Public Utilities Commission,8660,0,1.502,0,0.009,,,,
