# Citizen Ledger — public employee compensation — COMPLETE LAYER EXPORT
# Source dataset: California State Controller — Government Compensation in California, reporting year 2024, as filed by each employer
# Accounting basis: Positions as reported by each employer to the State Controller for the calendar year, including part-year and part-time positions
# Gate tier: AS FILED — AS FILED — UNRECONCILED. A published control exists and can never be reconciled to: the source is a live database with no as-of-date total, so there is no instant at which the two can be aligned
# Units: dollars; positions are positions, NOT persons
# Measured as: POSITIONS AS REPORTED BY EACH EMPLOYER TO THE STATE CONTROLLER FOR THE CALENDAR YEAR, INCLUDING PART-YEAR AND PART-TIME POSITIONS · DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · AS FILED
# Data generated: 2026-07-25
# Exported: 2026-07-29
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# A person holding two positions appears in two rows. This is a count of positions reported, never a headcount of people.
# retirement_includes_unfunded_liability is an employer-level reporting flag. Two identically-paid positions at two employers show different totals for a pure reporting reason, and the unfunded component is not separately reported, so it cannot be netted out.
# Do NOT compute an average or median over these rows. There is no hours or FTE field, and a quarter of city rows show pay below half the position's own stated minimum. See docs/V23A_COMPENSATION_BUILD_FINDING.md.
# Vintage: {'earliest': '2025-06-24', 'latest': '2026-07-22', 'staleMonths': 14, 'ageDaysAtBuild': 3}
slug,name,layer,county,positions_reported,total_wages_usd,retirement_and_health_usd,population,elected_positions,retirement_includes_unfunded_liability
city-corona,Corona,city,Riverside,1176,99599801,23964998,159157,6,false
city-coronado,Coronado,city,San Diego,633,31091619,9923129,22610,5,false
city-corte-madera,Corte Madera,city,Marin,97,5402351,1376992,9966,5,false
city-costa-mesa,Costa Mesa,city,Orange,885,87832851,18369429,110321,9,false
city-cotati,Cotati,city,Sonoma,64,4923331,1214255,7290,5,false
city-covina,Covina,city,Los Angeles,434,22528244,5438783,51090,7,false
city-crescent-city,Crescent City,city,Del Norte,147,5863411,1577266,6056,5,false
city-cudahy,Cudahy,city,Los Angeles,92,4786769,1368097,22132,6,false
city-culver-city,Culver City,city,Los Angeles,968,98692867,19814070,40403,5,false
city-cupertino,Cupertino,city,Santa Clara,409,26965764,6443686,59831,6,false
city-cypress,Cypress,city,Orange,260,16456076,4401716,49499,7,false
city-daly-city,Daly City,city,San Mateo,691,68367469,17986250,102155,7,false
city-dana-point,Dana Point,city,Orange,122,8356397,1574880,32730,5,false
city-danville,Danville,city,Contra Costa,316,10489769,3177728,42960,6,false
city-davis,Davis,city,Yolo,819,44508306,12152518,65423,6,false
city-del-mar,Del Mar,city,San Diego,178,8116299,1469910,3950,5,false
city-del-rey-oaks,Del Rey Oaks,city,Monterey,26,1762569,608208,1546,5,false
city-delano,Delano,city,Kern,344,19529673,7089201,52831,5,true
city-desert-hot-springs,Desert Hot Springs,city,Riverside,183,12435128,3675776,33262,5,false
city-diamond-bar,Diamond Bar,city,Los Angeles,167,8657542,1858464,53539,5,false
city-dinuba,Dinuba,city,Tulare,252,12334313,4790687,26025,5,false
city-dixon,Dixon,city,Solano,229,17402728,3299219,20174,7,false
city-dorris,Dorris,city,Siskiyou,18,240423,21109,830,7,false
city-dos-palos,Dos Palos,city,Merced,47,2130819,563669,5712,5,false
city-downey,Downey,city,Los Angeles,879,58138478,13915745,111871,6,false
city-duarte,Duarte,city,Los Angeles,182,5587292,1322611,23746,8,false
city-dublin,Dublin,city,Alameda,422,16043734,2964733,74691,7,false
city-dunsmuir,Dunsmuir,city,Siskiyou,30,1248938,509373,1628,6,false
city-east-palo-alto,East Palo Alto,city,San Mateo,147,14442183,2879981,29133,7,false
city-eastvale,Eastvale,city,Riverside,83,6676472,1305560,69799,5,false
city-el-cajon,El Cajon,city,San Diego,546,50578029,11823540,104932,5,false
city-el-centro,El Centro,city,Imperial,409,21946394,5555973,46007,7,false
city-el-cerrito,El Cerrito,city,Contra Costa,386,25031715,6013813,25862,5,false
city-el-monte,El Monte,city,Los Angeles,596,49123332,11514210,107986,11,false
city-el-paso-de-robles,El Paso De Robles,city,San Luis Obispo,345,29934739,8028420,31061,6,false
city-el-segundo,El Segundo,city,Los Angeles,589,39084015,8429924,16983,5,false
city-elk-grove,Elk Grove,city,Sacramento,548,54132250,15844413,182842,5,false
city-emeryville,Emeryville,city,Alameda,283,21919766,4880600,13471,5,false
city-encinitas,Encinitas,city,San Diego,452,38239264,8825325,61956,7,false
city-escalon,Escalon,city,San Joaquin,37,2315991,670249,7232,5,false
city-escondido,Escondido,city,San Diego,1188,92324875,20024700,150425,6,false
city-etna,Etna,city,Siskiyou,49,740839,167072,662,5,false
city-eureka,Eureka,city,Humboldt,466,20951018,4835347,26122,6,false
city-exeter,Exeter,city,Tulare,71,2807358,704286,10233,5,false
city-fairfax,Fairfax,city,Marin,49,4246860,1148576,7407,7,false
city-fairfield,Fairfield,city,Solano,773,84512096,22448545,120720,8,false
city-farmersville,Farmersville,city,Tulare,40,2622436,827715,10392,5,false
city-ferndale,Ferndale,city,Humboldt,27,922298,206837,1361,6,false
city-fillmore,Fillmore,city,Ventura,121,4632098,730503,17035,7,false
city-firebaugh,Firebaugh,city,Fresno,55,3025370,990738,8714,5,false
city-folsom,Folsom,city,Sacramento,937,56799298,7088596,92577,7,false
city-fontana,Fontana,city,San Bernardino,1279,78579099,22455429,219172,7,false
city-fort-bragg,Fort Bragg,city,Mendocino,125,6152418,1728434,7187,6,false
city-fort-jones,Fort Jones,city,Siskiyou,35,792157,17821,663,5,false
city-fortuna,Fortuna,city,Humboldt,149,5865844,1940418,12198,5,false
city-foster-city,Foster City,city,San Mateo,275,24963403,6366239,32658,7,false
city-fountain-valley,Fountain Valley,city,Orange,317,32109330,7946253,56560,5,false
city-fowler,Fowler,city,Fresno,68,2803198,549469,7667,5,false
city-fremont,Fremont,city,Alameda,1676,155489433,38299367,232619,10,false
city-fresno,Fresno,city,Fresno,5596,405505632,107017444,557032,8,false
city-fullerton,Fullerton,city,Orange,742,66034978,13586477,141469,6,false
city-galt,Galt,city,Sacramento,343,15877162,3703023,26092,7,false
city-garden-grove,Garden Grove,city,Orange,770,71365872,42921759,171492,7,true
city-gardena,Gardena,city,Los Angeles,572,42296762,11089312,60263,7,false
city-gilroy,Gilroy,city,Santa Clara,359,36230596,10215935,62205,7,false
city-glendale,Glendale,city,Los Angeles,2177,201521603,97813037,192212,8,true
city-glendora,Glendora,city,Los Angeles,339,26631275,4721335,51254,6,false
city-goleta,Goleta,city,Santa Barbara,172,13989531,2233342,32747,5,false
city-gonzales,Gonzales,city,Monterey,103,4647775,1360519,8434,5,false
city-grand-terrace,Grand Terrace,city,San Bernardino,40,2138971,372615,12803,12,false
city-grass-valley,Grass Valley,city,Nevada,134,12276180,3768935,13364,5,false
city-greenfield,Greenfield,city,Monterey,182,11186787,2069208,20785,5,false
city-gridley,Gridley,city,Butte,79,5397449,1151347,7302,5,false
city-grover-beach,Grover Beach,city,San Luis Obispo,87,7134539,1597035,12411,5,false
city-guadalupe,Guadalupe,city,Santa Barbara,67,4318028,988364,8851,7,false
city-gustine,Gustine,city,Merced,63,2154598,690387,6021,5,false
city-half-moon-bay,Half Moon Bay,city,San Mateo,54,6531659,720937,11303,5,false
city-hanford,Hanford,city,Kings,466,28646813,6881265,61238,8,false
city-hawaiian-gardens,Hawaiian Gardens,city,Los Angeles,202,5033849,1822517,13561,5,false
city-hawthorne,Hawthorne,city,Los Angeles,428,30590554,10751923,85653,7,false
city-hayward,Hayward,city,Alameda,1017,148700222,33877458,162359,7,false
city-healdsburg,Healdsburg,city,Sonoma,280,20145074,5472886,10972,5,false
city-hemet,Hemet,city,Riverside,408,36586760,21631366,91934,7,false
city-hercules,Hercules,city,Contra Costa,198,10187077,2231349,26225,5,false
city-hermosa-beach,Hermosa Beach,city,Los Angeles,228,18967758,4387546,19014,8,false
city-hesperia,Hesperia,city,San Bernardino,236,15695138,4447767,101792,7,false
city-hidden-hills,Hidden Hills,city,Los Angeles,12,579063,118912,1746,5,false
city-highland,Highland,city,San Bernardino,50,4663174,714181,57088,6,false
city-hillsborough,Hillsborough,city,San Mateo,120,14306550,4448090,11254,5,false
city-hollister,Hollister,city,San Benito,256,28690301,8012021,43492,9,false
city-holtville,Holtville,city,Imperial,61,1669477,244262,5685,7,false
city-hughson,Hughson,city,Stanislaus,41,1568736,419515,7977,6,false
city-huntington-beach,Huntington Beach,city,Orange,1734,139327281,32197115,193134,14,false
city-huntington-park,Huntington Park,city,Los Angeles,263,16634705,4648905,53051,6,false
city-huron,Huron,city,Fresno,49,2134029,290474,6932,5,false
city-imperial,Imperial,city,Imperial,167,8919297,1434048,22866,5,false
city-imperial-beach,Imperial Beach,city,San Diego,181,10168400,2662862,26369,5,false
city-indian-wells,Indian Wells,city,Riverside,39,4561242,1471378,4862,5,false
city-indio,Indio,city,Riverside,333,26413393,7849674,92539,7,false
city-industry,Industry,city,Los Angeles,36,3799958,1636726,431,6,false
city-inglewood,Inglewood,city,Los Angeles,886,89759390,32386860,106305,7,false
city-ione,Ione,city,Amador,76,2481768,622943,9037,7,false
city-irvine,Irvine,city,Orange,2193,150535676,39890607,318629,5,false
city-irwindale,Irwindale,city,Los Angeles,238,13144810,4946953,1509,5,false
city-isleton,Isleton,city,Sacramento,24,958621,127622,764,5,false
city-jackson,Jackson,city,Amador,76,3248066,1301874,4822,5,false
city-jurupa-valley,Jurupa Valley,city,Riverside,119,9273046,1252656,105928,5,false
city-kerman,Kerman,city,Fresno,154,6168065,1365341,17535,7,false
city-king-city,King City,city,Monterey,130,5407214,1284535,14344,5,false
city-kingsburg,Kingsburg,city,Fresno,126,7759877,1452212,13285,5,false
city-la-canada-flintridge,La Canada Flintridge,city,Los Angeles,59,4277017,730259,20160,7,false
city-la-habra,La Habra,city,Orange,552,30145739,10840628,61202,6,true
city-la-habra-heights,La Habra Heights,city,Los Angeles,66,1776672,330221,5503,5,false
city-la-mesa,La Mesa,city,San Diego,393,33772140,7849999,60908,8,false
city-la-mirada,La Mirada,city,Los Angeles,562,12534820,3062634,48233,6,false
city-la-palma,La Palma,city,Orange,97,6188834,1094974,15110,6,false
city-la-puente,La Puente,city,Los Angeles,222,6482903,1399997,37546,5,false
city-la-quinta,La Quinta,city,Riverside,141,9258298,2668939,38796,5,false
city-la-verne,La Verne,city,Los Angeles,330,23409959,5442153,32300,5,false
city-lafayette,Lafayette,city,Contra Costa,115,6251557,1786532,25054,5,false
city-laguna-beach,Laguna Beach,city,Orange,755,51278302,11163534,22763,8,false
city-laguna-hills,Laguna Hills,city,Orange,58,3721689,1201385,30309,6,false
city-laguna-niguel,Laguna Niguel,city,Orange,212,9119240,1869815,65257,5,true
city-laguna-woods,Laguna Woods,city,Orange,19,941935,172913,17183,6,true
city-lake-elsinore,Lake Elsinore,city,Riverside,182,13016870,2881763,73783,11,false
city-lake-forest,Lake Forest,city,Orange,196,9875526,1900299,87639,5,false
city-lakeport,Lakeport,city,Lake,72,4429707,1420944,5026,5,false
city-lakewood,Lakewood,city,Los Angeles,632,25690469,2972223,80596,6,false
city-lancaster,Lancaster,city,Los Angeles,894,37738353,12415387,177768,5,false
city-larkspur,Larkspur,city,Marin,47,4223419,1047086,12731,6,false
city-lathrop,Lathrop,city,San Joaquin,206,19951516,5573960,38596,5,false
city-lawndale,Lawndale,city,Los Angeles,80,4996543,838113,30860,6,false
city-lemon-grove,Lemon Grove,city,San Diego,95,5830588,1403361,28163,7,false
city-lemoore,Lemoore,city,Kings,141,7128684,2725636,27692,5,false
city-lincoln,Lincoln,city,Placer,362,24409700,8166142,54520,9,false
city-lindsay,Lindsay,city,Tulare,101,3822344,1262514,12725,5,false
city-live-oak,Live Oak,city,Sutter,75,2406553,903843,9658,5,false
city-livermore,Livermore,city,Alameda,618,61400956,23749505,85899,7,true
city-livingston,Livingston,city,Merced,144,5744503,1614297,14441,10,false
city-lodi,Lodi,city,San Joaquin,730,56658511,12552215,67093,5,false
city-loma-linda,Loma Linda,city,San Bernardino,103,12135881,2038188,25322,7,false
city-lomita,Lomita,city,Los Angeles,124,4947441,1232751,20407,5,false
city-lompoc,Lompoc,city,Santa Barbara,560,37452831,7830883,43424,5,false
city-long-beach,Long Beach,city,Los Angeles,7088,664748578,253885786,462561,13,true
city-loomis,Loomis,city,Placer,45,1469415,413645,6689,9,false
city-los-alamitos,Los Alamitos,city,Orange,184,9224744,1685113,12006,5,false
city-los-altos,Los Altos,city,Santa Clara,234,21720457,5726903,31720,6,false
city-los-altos-hills,Los Altos Hills,city,Santa Clara,51,3214551,842073,8548,5,false
city-los-angeles,Los Angeles,city,Los Angeles,61065,7382160555,1713005228,3835263,18,true
city-los-banos,Los Banos,city,Merced,243,16559452,5772452,48896,6,false
city-los-gatos,Los Gatos,city,Santa Clara,224,23776534,5678720,33355,5,false
city-loyalton,Loyalton,city,Sierra,14,286176,0,730,6,false
city-lynwood,Lynwood,city,Los Angeles,203,12130138,2994968,66660,9,false
city-madera,Madera,city,Madera,389,20603059,7289374,66443,7,false
city-malibu,Malibu,city,Los Angeles,159,10586418,3301577,10604,5,false
city-mammoth-lakes,Mammoth Lakes,city,Mono,243,10461725,3736356,7040,6,false
city-manhattan-beach,Manhattan Beach,city,Los Angeles,576,49542651,12583158,34051,6,false
city-manteca,Manteca,city,San Joaquin,706,59100851,13872388,93733,6,false
city-maricopa,Maricopa,city,Kern,12,154794,29738,1024,7,false
city-marina,Marina,city,Monterey,156,13918843,3008401,23086,6,false
city-martinez,Martinez,city,Contra Costa,272,19319979,4699529,36817,8,false
city-marysville,Marysville,city,Yuba,101,6836808,1286196,12717,5,false
city-maywood,Maywood,city,Los Angeles,35,1833437,649969,24496,5,false
city-mcfarland,McFarland,city,Kern,84,4565250,1151382,14213,5,false
city-mendota,Mendota,city,Fresno,83,3797991,871450,12710,6,false
city-menifee,Menifee,city,Riverside,451,34810786,10283614,115316,5,false
city-menlo-park,Menlo Park,city,San Mateo,438,35054641,9291958,33311,7,false
city-merced,Merced,city,Merced,697,47317493,13821889,98039,7,false
city-mill-valley,Mill Valley,city,Marin,423,16832774,4417129,13688,5,false
city-millbrae,Millbrae,city,San Mateo,193,12025281,3156076,23164,7,false
city-milpitas,Milpitas,city,Santa Clara,772,70565495,19426074,81915,6,false
city-mission-viejo,Mission Viejo,city,Orange,365,16685803,4673270,91740,5,false
city-modesto,Modesto,city,Stanislaus,1823,144526742,34692386,219765,7,false
city-monrovia,Monrovia,city,Los Angeles,408,33521258,7407132,38920,8,false
city-montague,Montague,city,Siskiyou,45,729699,126188,1195,5,false
city-montclair,Montclair,city,San Bernardino,377,23127085,6145312,37526,5,false
city-monte-sereno,Monte Sereno,city,Santa Clara,15,1353305,348023,3637,5,false
city-montebello,Montebello,city,Los Angeles,901,51776663,10586187,62732,7,false
city-monterey,Monterey,city,Monterey,906,56772319,14800945,27273,5,false
city-monterey-park,Monterey Park,city,Los Angeles,482,39751702,9986053,59269,7,false
city-moorpark,Moorpark,city,Ventura,132,6485060,2310917,34754,6,false
city-moraga,Moraga,city,Contra Costa,84,5851687,1054178,16637,5,false
city-moreno-valley,Moreno Valley,city,Riverside,652,37850358,7650322,210823,6,false
city-morgan-hill,Morgan Hill,city,Santa Clara,541,33121788,6741470,46599,8,false
city-morro-bay,Morro Bay,city,San Luis Obispo,334,12973100,3192078,10404,7,false
city-mountain-view,Mountain View,city,Santa Clara,1127,114831676,26350847,86513,7,false
city-mt-shasta,Mt. Shasta,city,Siskiyou,74,3429326,964718,3179,7,false
city-murrieta,Murrieta,city,Riverside,539,62204069,22981272,111789,5,true
city-napa,Napa,city,Napa,702,70076644,15515074,77736,5,false
city-national-city,National City,city,San Diego,476,40992989,8564280,58965,6,false
city-needles,Needles,city,San Bernardino,76,4467585,711302,4791,7,false
city-nevada-city,Nevada City,city,Nevada,90,3480676,1414074,3336,5,false
city-newark,Newark,city,Alameda,410,27203081,11975653,48886,9,false
city-newman,Newman,city,Stanislaus,93,4017633,1200000,12389,8,false
city-newport-beach,Newport Beach,city,Orange,1307,113399058,25150424,82654,9,false
city-norco,Norco,city,Riverside,191,7832622,2597044,25221,5,false
city-norwalk,Norwalk,city,Los Angeles,686,31762910,10821083,101075,5,false
city-novato,Novato,city,Marin,399,20249969,2526698,51690,6,false
city-oakdale,Oakdale,city,Stanislaus,173,8957009,2180194,23231,11,false
city-oakland,Oakland,city,Alameda,6163,674728519,331106926,426457,12,true
city-oakley,Oakley,city,Contra Costa,142,13053905,2728606,46826,5,false
city-oceanside,Oceanside,city,San Diego,1489,114067738,26582921,174340,9,false
city-ojai,Ojai,city,Ventura,98,4004033,1057192,7559,7,false
city-ontario,Ontario,city,San Bernardino,2068,216499257,59031170,184404,8,false
city-orange,Orange,city,Orange,917,93011805,21901687,139724,9,false
city-orange-cove,Orange Cove,city,Fresno,53,2995195,1078875,9717,5,false
city-orinda,Orinda,city,Contra Costa,88,5026643,1302396,19351,5,false
city-orland,Orland,city,Glenn,105,3908473,1601986,8704,5,false
city-oroville,Oroville,city,Butte,146,9835237,2327450,19653,7,false
city-oxnard,Oxnard,city,Ventura,2024,159841414,44732056,198733,13,false
city-pacific-grove,Pacific Grove,city,Monterey,193,10646530,2007427,14871,9,false
city-pacifica,Pacifica,city,San Mateo,343,24682131,6700557,37217,5,false
city-palm-desert,Palm Desert,city,Riverside,172,16016498,5235570,51980,6,false
city-palm-springs,Palm Springs,city,Riverside,667,71562085,40206762,44476,7,true
city-palmdale,Palmdale,city,Los Angeles,867,30346990,5946233,167097,5,false
city-palo-alto,Palo Alto,city,Santa Clara,1430,167379004,94128550,68794,7,true
city-palos-verdes-estates,Palos Verdes Estates,city,Los Angeles,68,5576704,1203803,12999,6,false
city-paradise,Paradise,city,Butte,110,8734017,1777381,11088,5,false
city-paramount,Paramount,city,Los Angeles,434,13058284,2497065,52371,5,false
city-parlier,Parlier,city,Fresno,81,4724080,962457,14649,7,false
city-pasadena,Pasadena,city,Los Angeles,2508,241625139,58028451,140631,9,false
city-patterson,Patterson,city,Stanislaus,326,14834716,5314626,25868,5,false
city-perris,Perris,city,Riverside,183,17020171,4640062,81240,12,false
city-petaluma,Petaluma,city,Sonoma,585,50121335,12174406,59094,7,false
city-pico-rivera,Pico Rivera,city,Los Angeles,334,18089838,4030111,60858,5,false
city-piedmont,Piedmont,city,Alameda,301,16798123,4167069,10806,5,false
city-pinole,Pinole,city,Contra Costa,142,13780218,3057707,18261,6,false
city-pismo-beach,Pismo Beach,city,San Luis Obispo,179,11757977,2712588,7804,5,false
city-pittsburg,Pittsburg,city,Contra Costa,503,37591539,10723176,76374,7,false
city-placentia,Placentia,city,Orange,350,25348120,5261919,53982,6,false
city-placerville,Placerville,city,El Dorado,203,8380544,2716407,10642,6,false
city-pleasant-hill,Pleasant Hill,city,Contra Costa,129,15259255,3393913,33601,6,false
city-pleasanton,Pleasanton,city,Alameda,952,82197770,29449154,77232,7,false
city-plymouth,Plymouth,city,Amador,31,963201,198300,1122,7,false
city-point-arena,Point Arena,city,Mendocino,19,358153,57250,452,5,false
city-pomona,Pomona,city,Los Angeles,821,74882746,19098961,153042,9,false
city-port-hueneme,Port Hueneme,city,Ventura,212,16382215,3525083,20838,5,false
