# Citizen Ledger — K-12 schools — COMPLETE LAYER EXPORT
# Source dataset: California Department of Education — SACS unaudited actuals, Current Expense of Education, and LCFF summary data
# Accounting basis: Unaudited actual expenditures as filed under the state's Standardized Account Code Structure (SACS); Current Expense of Education
# Gate tier: GATED TO THE CENT for school districts, against the Department of Education's published Current Expense of Education. County offices and charter schools are RECORDS ONLY — the Department excludes them from its per-pupil statistic and so does the Ledger
# Units: dollars; ADA in average daily attendance
# Measured as: UNAUDITED ACTUAL EXPENDITURES AS FILED UNDER THE STATE'S STANDARDIZED ACCOUNT CODE STRUCTURE (SACS) · DOLLARS · NOMINAL AS PUBLISHED · ALL SHIPPED YEARS · GATED TO THE CENT FOR SCHOOL DISTRICTS, AGAINST THE DEPARTMENT OF EDUCATION'S PUBLISHED CURRENT EXPENSE OF EDUCATION
# Data generated: 2026-07-25
# Exported: 2026-07-31
# Absent values: Empty cell = not published by the source. It is NOT zero. A real reported zero is written as 0.
# Licence: CC0 1.0 Universal (public domain). Cite freely; no permission needed.
# Stability: This file's SHAPE is not stable. The Ledger is actively developed: columns may be added, renamed or split as layers change. Pin a copy if you need reproducibility. The DATA is CC0 and that does not change.
# Schema: bulk/SCHEMA.md · Method: about.html · Findings: findings.html
# record_type distinguishes district / county-office / charter. Only district rows enter any per-pupil comparison; do not compute one across record types.
# revenue_tier states the tier of that row's revenue figures, which is NOT the same tier as the expenditure figures beside them.
# Function columns: exp_instruction_usd = Instruction; exp_instrRelated_usd = Instruction-related services; exp_pupilServices_usd = Pupil services; exp_ancillary_usd = Ancillary services; exp_community_usd = Community services; exp_enterprise_usd = Enterprise; exp_genAdmin_usd = General administration; exp_plant_usd = Plant services; exp_otherOutgo_usd = Other outgo
slug,record_type,name,county,district_type,cds,nces,fiscal_year,ada,current_expense_usd,ce_published_usd,revenue_tier,rev_lcffStateAid_usd,rev_propertyTaxes_usd,rev_lcffTransfers_usd,rev_otherState_usd,rev_localOther_usd,rev_federal_usd,exp_instruction_usd,exp_instrRelated_usd,exp_pupilServices_usd,exp_ancillary_usd,exp_community_usd,exp_enterprise_usd,exp_genAdmin_usd,exp_plant_usd,exp_otherOutgo_usd
acalanes-union-high,district,Acalanes Union High,Contra Costa,High School,0761630,0601650,2017-18,5404.74,74213974.26,74213974.26,as-filed,4737587.23,44940432.77,1292443,6545729.82,35047673.29,1670110.99,44601409.19,8543414.42,7930184.05,1447124.1,,6840,4047987.29,7637015.21,
acalanes-union-high,district,Acalanes Union High,Contra Costa,High School,0761630,0601650,2018-19,5426.46,80123902.3,80123902.3,as-filed,4745063,47867519.81,1408489,6845695.09,37575738.58,1798519.36,48424191.87,9567936.29,8992907.82,1530903.98,,6612,3938352.97,7662997.37,
acalanes-union-high,district,Acalanes Union High,Contra Costa,High School,0761630,0601650,2019-20,5413.25,80871225.78,80871225.78,as-filed,4744866.77,51431324.95,1486193,6072752.38,37418708.94,1895039.45,48250511.75,9273775.83,9665379.8,1438616.55,,5529,4051764.7,8185648.15,
acalanes-union-high,district,Acalanes Union High,Contra Costa,High School,0761630,0601650,2020-21,5413.25,86309854.25,86309854.25,as-filed,4738325,53385566.84,1542276,9836121.83,38922573.54,3926064.09,51814107.89,9431928.21,9742775.96,1135715.63,206713.71,4389,4647618.2,9326605.65,
acalanes-union-high,district,Acalanes Union High,Contra Costa,High School,0761630,0601650,2021-22,5166.37,90051301.3,90051301.3,as-filed,4741765.8,55540422.2,1660035,11937668.33,38118229.59,5619811.44,53213317.4,9721596.91,11057443.27,1559383,660.65,3591,4669750.09,9825558.98,
acalanes-union-high,district,Acalanes Union High,Contra Costa,High School,0761630,0601650,2022-23,5145.61,97194598.33,97194598.33,as-filed,4727253,60069333.59,1794258,14945174.64,43909615.73,3239439.16,56435307.17,11515933.78,11817494.57,1871338.9,,3420,5260762.78,10290341.13,
acalanes-union-high,district,Acalanes Union High,Contra Costa,High School,0761630,0601650,2023-24,5167.51,99556605.67,99556605.67,as-filed,4709285,64005324.83,1864507,11677764.52,51274508.25,2599978.09,58311227.64,12131493.01,12121104.74,790907.97,,3420,5143857.57,11054594.74,
acalanes-union-high,district,Acalanes Union High,Contra Costa,High School,0761630,0601650,2024-25,5140,105413147.13,105413147.13,as-filed,4693327,65777428.29,1914735.28,12111325.75,47702784.96,2118689.14,61784401.35,12422024.35,12301517.64,764492.57,,3420,6607694.77,11529596.45,
ackerman-charter,district,Ackerman Charter,Placer,Elementary,3166761,0601680,2016-17,563.8,4587243.39,4587243.39,as-filed,2980409,1315168.32,63143.41,472934.27,629796.79,222907.75,2939269.34,478499.52,445057.92,22690.44,,,300585.84,401140.33,
ackerman-charter,district,Ackerman Charter,Placer,Elementary,3166761,0601680,2017-18,582.05,4542291.14,4542291.14,as-filed,3151234.77,1412074.83,77518.4,507065.82,607419.43,197228.12,2952916.58,455519.31,422927.37,25451.9,,,332476.64,352999.34,
ackerman-charter,district,Ackerman Charter,Placer,Elementary,3166761,0601680,2018-19,568.13,5013247.9,5013247.9,as-filed,3300121.63,1545936.19,71832,754390.06,717823.2,237739.61,3088645.18,499457.78,504529.28,23620.24,,,370921.84,526073.58,
ackerman-charter,district,Ackerman Charter,Placer,Elementary,3166761,0601680,2019-20,572.82,5311289.96,5311289.96,as-filed,3297325.82,1811100.07,59358.54,541324.32,536186.02,197266.47,3331410.88,482564.53,575719.63,22062.66,,,396578.05,502954.21,
ackerman-charter,district,Ackerman Charter,Placer,Elementary,3166761,0601680,2020-21,573.06,5306306.96,5306306.96,as-filed,3179243.46,1915296.84,70444.63,867584.35,3775860.45,442965.23,3389007.51,467909.65,599758.76,16237.29,,,290277.88,543115.87,
ackerman-charter,district,Ackerman Charter,Placer,Elementary,3166761,0601680,2021-22,530,5871857.6,5871857.6,as-filed,3142955.37,2041759.87,74733.15,869006.5,456107.53,708626.84,3731039.41,413475.21,749173.25,34849.17,,,337933.07,605387.49,
ackerman-charter,district,Ackerman Charter,Placer,Elementary,3166761,0601680,2022-23,559.23,6687174.92,6687174.92,as-filed,3510154,2215427.22,102517,5135234.61,-2109895.2,449967.74,4076397.58,503169.14,883948.62,38989.57,,,449824.06,734845.95,
ackerman-charter,district,Ackerman Charter,Placer,Elementary,3166761,0601680,2023-24,569.74,7495970.76,7495970.76,as-filed,4241363,2239679.21,148628.3,1345133.76,1389939.3,383821.83,4478296.21,570207.13,840547.51,45276.95,,,493029.89,1068613.07,
ackerman-charter,district,Ackerman Charter,Placer,Elementary,3166761,0601680,2024-25,576.73,7827377.44,7827377.44,as-filed,4193269,2375746.79,156506,1244050.87,1712986.48,273611.14,4663179.31,600264.83,1212202.62,47870.13,,,524780.43,779080.12,
acton-agua-dulce-unified,district,Acton-Agua Dulce Unified,Los Angeles,Unified,1975309,0600001,2016-17,1036.27,14743876.87,14743876.87,as-filed,19284958,4622091.44,-3449271.5,2628521.26,6627845.75,1250560,7776196.04,1833354.82,1360924.2,196781.1,,,1851308.51,1725312.2,
acton-agua-dulce-unified,district,Acton-Agua Dulce Unified,Los Angeles,Unified,1975309,0600001,2017-18,1026.57,14550054.61,14550054.61,as-filed,37515775,5030992.98,-3889720.5,3279427.94,8052841.85,1216869.69,7729509.07,1611196.04,1425355.56,140510.8,,,1953499.23,1689983.91,
acton-agua-dulce-unified,district,Acton-Agua Dulce Unified,Los Angeles,Unified,1975309,0600001,2018-19,1027.63,14654006.7,14654006.7,as-filed,87799272.18,5646026.58,-3248692,8609834.81,14426596,1479706.33,7699879.18,1751614.2,1547643.52,104414.54,,,2031321.43,1481688.33,37445.5
acton-agua-dulce-unified,district,Acton-Agua Dulce Unified,Los Angeles,Unified,1975309,0600001,2019-20,934.41,15081862.74,15081862.74,as-filed,10183038,6037262.95,-5475792,1268278.52,8526207.37,1103977.97,8047833.49,1765803.76,1466470.38,89096.01,,,2013449.67,1699209.43,
acton-agua-dulce-unified,district,Acton-Agua Dulce Unified,Los Angeles,Unified,1975309,0600001,2020-21,979.6,14768712.03,14768712.03,as-filed,56041702,6796337.47,-4379973,7672668.86,5114836.95,2647658.05,8040120.81,1590126.75,1205673.44,95736.09,,,2523226.15,1313828.79,
acton-agua-dulce-unified,district,Acton-Agua Dulce Unified,Los Angeles,Unified,1975309,0600001,2021-22,889.47,15455674.8,15455674.8,as-filed,59573907,6742449.93,-4258652,8740947.1,5735632.33,10035107.95,8780802.55,1470453.43,1758728.81,105798.85,,,1834270.36,1505620.8,
acton-agua-dulce-unified,district,Acton-Agua Dulce Unified,Los Angeles,Unified,1975309,0600001,2022-23,898.73,18682392.53,18682392.53,as-filed,80341986.44,7614113.56,-4175351,18663947.17,4280821.47,4121468.31,10000272.64,1873468.75,1865467.51,240521.19,,,2570124.98,2132537.46,
acton-agua-dulce-unified,district,Acton-Agua Dulce Unified,Los Angeles,Unified,1975309,0600001,2023-24,963.44,21369055.05,21369055.05,as-filed,92956531.56,7256307.36,-4141605,9728136.18,6538946.44,3340821.87,14299234.48,1489638.09,1623404.58,143460.11,,,1772645.14,2040672.65,
acton-agua-dulce-unified,district,Acton-Agua Dulce Unified,Los Angeles,Unified,1975309,0600001,2024-25,972.29,24714403.43,24714403.43,as-filed,98459084,7789947.83,-4449570,10101837.09,6610949.59,4005650.18,16758096.71,1298452.07,1765095.84,184127.04,,,2380994.18,2327637.59,
adelanto-elementary,district,Adelanto Elementary,San Bernardino,Elementary,3667587,0601710,2016-17,7893.6,82948160.24,82948160.24,as-filed,92402981,3455200.04,-292835,10019682.8,6890450.65,10904637.18,52287621.58,9313683.12,7760315.82,,,,5573630.03,8012909.69,
adelanto-elementary,district,Adelanto Elementary,San Bernardino,Elementary,3667587,0601710,2017-18,7874.19,91267034.21,91267034.21,as-filed,74585649,4029416.03,-260600,9323993.57,6855676.85,11236040.58,57591361.13,10395245.98,8705572.93,,,,5523879.64,9050974.53,
adelanto-elementary,district,Adelanto Elementary,San Bernardino,Elementary,3667587,0601710,2018-19,7705.92,95938828.56,95938828.56,as-filed,78945743,4946665.65,-345798,11553359.5,8332333.49,12398952.98,60689828.02,10725011.66,9041117.99,663.96,,,5970705.83,9511501.1,
adelanto-elementary,district,Adelanto Elementary,San Bernardino,Elementary,3667587,0601710,2019-20,7698.34,98643341.54,98643341.54,as-filed,79043778,5223331.38,-287677,8976521.11,8657342,11306917.75,62443177.37,11100388.19,8734155.08,,,,5971574.23,10394046.67,
adelanto-elementary,district,Adelanto Elementary,San Bernardino,Elementary,3667587,0601710,2020-21,7670.58,106105031.96,106105031.96,as-filed,75924362,6971660.99,-312384,12297962.05,12416824.25,24152972.36,68035456.91,12419954.11,8139429.88,,,,6739396.91,10770794.15,
adelanto-elementary,district,Adelanto Elementary,San Bernardino,Elementary,3667587,0601710,2021-22,6737.01,124908086.93,124908086.93,as-filed,82541329,7157348.93,-356234,20110810.96,10234437.95,30856048.72,80081386.27,12332306.46,10174506.64,,,,10123647.98,12196239.58,
adelanto-elementary,district,Adelanto Elementary,San Bernardino,Elementary,3667587,0601710,2022-23,6880.32,131918316.32,131918316.32,as-filed,89645008,9621110.01,-540582,40991956.16,8288939.36,30035876.4,81348637.52,14074599.09,12048070.19,250,,,10185785.01,14260974.51,
adelanto-elementary,district,Adelanto Elementary,San Bernardino,Elementary,3667587,0601710,2023-24,6848.84,133954742.98,133954742.98,as-filed,95847320,10866948.34,-590592,33499662.04,20536038.83,14722604.76,84997041.94,13854270.17,14771510.76,10555.77,,,10336105.05,9985259.29,
adelanto-elementary,district,Adelanto Elementary,San Bernardino,Elementary,3667587,0601710,2024-25,6979.6,148769324.35,148769324.35,as-filed,91211170,12731272.69,-698269,32764272.95,12389344.68,14001596.45,96022964.08,16345921.17,17093740.27,1918.4,,,10466573.59,8838206.84,
alameda-unified,district,Alameda Unified,Alameda,Unified,0161119,0601770,2016-17,9061.77,104846430.62,104846430.62,as-filed,50295017,29764894.29,-3740311.21,11363904.59,35414304.37,5983510.52,68473270.24,10682378.09,7862683.26,1799676.59,,,6537893.36,9490529.08,
alameda-unified,district,Alameda Unified,Alameda,Unified,0161119,0601770,2017-18,9066.41,108302935.12,108302935.12,as-filed,49770928,32586347.44,-4364499.7,28514472.07,34187227.21,6265872.9,71526794.32,11199030.24,7050932.27,1711796.17,,,7097628.74,9716753.38,
alameda-unified,district,Alameda Unified,Alameda,Unified,0161119,0601770,2018-19,8968.85,117225882.5,117225882.5,as-filed,52787358,34666054.38,-4646253.57,18516024.21,42369185.34,6118761.02,77015002.23,12197192.48,7738555.52,1701902.21,,,7926343.3,10646886.76,
alameda-unified,district,Alameda Unified,Alameda,Unified,0161119,0601770,2019-20,8975.2,115661149.05,115661149.05,as-filed,51681867,38126027.4,-5282121.77,13837149.78,45214919.31,5963435.35,74971685.55,12681927.59,7558990.17,1681216.01,,,8059971.05,10707358.68,
alameda-unified,district,Alameda Unified,Alameda,Unified,0161119,0601770,2020-21,8975.2,122421584.91,122421584.91,as-filed,47985869,41624459.9,-5589607,21694559.95,52538246.1,11890842.44,79182013.16,13249283.46,7451395.48,1320041.4,,,8258668.93,12960182.48,
alameda-unified,district,Alameda Unified,Alameda,Unified,0161119,0601770,2021-22,8176.23,135123065.08,135123065.08,as-filed,48732422,43837300.42,-4880097.01,21095588.16,55407304.23,15285970.92,85490187.81,14852534.11,9966069.69,1934186.34,,,8897046.83,13983040.3,
alameda-unified,district,Alameda Unified,Alameda,Unified,0161119,0601770,2022-23,8310.33,140716572.53,140716572.53,as-filed,56904976,47963749.99,-5187536,34953101.36,54221337.22,11990277.39,86021648.2,15672110.36,12287483.73,2378261.71,,,10198941.13,14158127.4,
alameda-unified,district,Alameda Unified,Alameda,Unified,0161119,0601770,2023-24,8567.86,155094777.67,155094777.67,as-filed,57358668,51579188.84,-5667576,25536999.97,68886369.66,10201621.21,95669968.36,17399623.2,14054713.99,2092056.74,,,11173607.66,14704807.72,
alameda-unified,district,Alameda Unified,Alameda,Unified,0161119,0601770,2024-25,8794.74,163219637.92,163219637.92,as-filed,60775816,53814529.22,-5440701,30693276.14,82212637.98,7870207.4,99038751.55,17779204.42,15795161.45,3750284.93,,,10350444.09,16505791.48,
albany-city-unified,district,Albany City Unified,Alameda,Unified,0161127,0601860,2016-17,3601.47,43812775.02,43812775.02,as-filed,20841141.73,9306571.36,182030,18538517.56,16766624.83,6063255.18,28055915.54,5742983.18,1984344.58,444465.44,,,3652142.99,3932923.29,
albany-city-unified,district,Albany City Unified,Alameda,Unified,0161127,0601860,2017-18,3537.39,45683532.17,45683532.17,as-filed,19445920.27,10494830.8,178485,19354174.01,18917365.65,5933672.34,29106077.29,5796093.77,2206017.63,525058.15,,,4017834.15,4032451.18,
albany-city-unified,district,Albany City Unified,Alameda,Unified,0161127,0601860,2018-19,3544.52,46611059.59,46611059.59,as-filed,20338653,11005113.95,183884,20372081.48,19726931.96,6369101.26,30078586.92,6028782.31,2257962.71,537502.18,,,3463862.22,4244363.25,
albany-city-unified,district,Albany City Unified,Alameda,Unified,0161127,0601860,2019-20,3484.19,45832276.67,45832276.67,as-filed,20459004.16,11990057.84,199706,20772264.15,18341021.72,6329919.85,29762441.77,5635819.78,2563816.23,488057.2,,,3443632.9,3938508.79,
albany-city-unified,district,Albany City Unified,Alameda,Unified,0161127,0601860,2020-21,3484.19,47343135.51,47343135.51,as-filed,19182574.84,12512613.37,212913,24809704.81,15021844.54,9453540.75,30552029.39,5480112.05,2580496.1,246465.57,253096.18,,4290058.17,3940878.05,
albany-city-unified,district,Albany City Unified,Alameda,Unified,0161127,0601860,2021-22,3387.86,53553887.6,53553887.6,as-filed,19791065.95,13606624.05,174023,37511849.83,17075742.27,9855012.38,32789062.94,6325283.95,3002963.8,509948.22,,,5981789.1,4944839.59,
albany-city-unified,district,Albany City Unified,Alameda,Unified,0161127,0601860,2022-23,3354.23,59371521.45,59371521.45,as-filed,23513589.05,14453820.89,217835,39195791.54,18451578.38,7738246.38,37012944.42,6944825.62,4183245.08,589447.6,,,4930270.22,5710788.51,
albany-city-unified,district,Albany City Unified,Alameda,Unified,0161127,0601860,2023-24,3435.41,61490895.29,61490895.29,as-filed,25805841,15173621.36,243355,42250529.04,20878234.85,7138859.84,38320191.69,7273456.95,3884946.41,588338.44,,,4965777.83,6458183.97,
albany-city-unified,district,Albany City Unified,Alameda,Unified,0161127,0601860,2024-25,3547.21,64266940.75,64266940.75,as-filed,27275358,15668073.26,256791,31127522.53,25083258.85,7191537.84,40489228.18,7129930.59,4414256.03,568562.07,412688.1,,4710648.52,6541627.26,
alexander-valley-union-elementary,district,Alexander Valley Union Elementary,Sonoma,Elementary,4970599,0601890,2016-17,124.55,2167876.93,2167876.93,as-filed,399173,1407874.12,0,230098.89,351588.47,61102.02,1435551.09,266320.52,107124.04,,31398.87,,186054.83,141427.58,
alexander-valley-union-elementary,district,Alexander Valley Union Elementary,Sonoma,Elementary,4970599,0601890,2017-18,110.82,2177012.12,2177012.12,as-filed,347238,1488760.15,0,133303.05,337313.98,66087.65,1373553.23,278224.57,135095.9,,33621.72,,190374.27,166142.43,
alexander-valley-union-elementary,district,Alexander Valley Union Elementary,Sonoma,Elementary,4970599,0601890,2018-19,105.44,2247784.54,2247784.54,as-filed,352646,1617776.62,0,227343.3,593823.51,60083.81,1367978.59,309018.4,102218.41,,38636.14,,237259.66,192673.34,
alexander-valley-union-elementary,district,Alexander Valley Union Elementary,Sonoma,Elementary,4970599,0601890,2019-20,106.78,2298098.98,2298098.98,as-filed,350068,1759111.97,0,168266.05,576348.39,51876.5,1370096.15,332377.82,109292.51,,40099.28,,233934.13,212299.09,
alexander-valley-union-elementary,district,Alexander Valley Union Elementary,Sonoma,Elementary,4970599,0601890,2020-21,106.78,2510274.28,2510274.28,as-filed,348562,1711515.36,0,153875.1,401078.94,62969.1,1572939.81,364170.29,134040.95,,3791.58,,248516.83,186814.82,
alexander-valley-union-elementary,district,Alexander Valley Union Elementary,Sonoma,Elementary,4970599,0601890,2021-22,106.41,2753998.52,2753998.52,as-filed,316005,1759661.28,13456,272491.11,1268368.32,39606.25,1488380.57,379698.86,364981.49,,53864.62,,254504.09,212568.89,
alexander-valley-union-elementary,district,Alexander Valley Union Elementary,Sonoma,Elementary,4970599,0601890,2022-23,106.73,2765859.94,2765859.94,as-filed,320010,1857541.18,14994,382117.57,578742.39,60447.49,1608356.9,403922.39,146047.37,,64479.01,,271258.98,271795.29,
alexander-valley-union-elementary,district,Alexander Valley Union Elementary,Sonoma,Elementary,4970599,0601890,2023-24,110.78,2788229.83,2788229.83,as-filed,320486,1983069,14273,553041.31,582440.61,25235.03,1626647.62,408899.07,150778.85,,37725.24,,314332.64,249846.41,
alexander-valley-union-elementary,district,Alexander Valley Union Elementary,Sonoma,Elementary,4970599,0601890,2024-25,108.33,2998201.48,2998201.48,as-filed,320486,2082465.47,14672,218413.42,643552.38,48729.72,1789340.77,390044.4,145692.41,,36759.47,,349332.93,287031.5,
alhambra-unified,district,Alhambra Unified,Los Angeles,Unified,1975713,0600153,2016-17,16622.37,191338498.94,191338498.94,as-filed,126821407.12,35169257.63,,62541577.57,63281624.76,31261109.66,114253946.13,25835684.52,22021054.32,1058861.04,,,7647763.22,20521189.71,
alhambra-unified,district,Alhambra Unified,Los Angeles,Unified,1975713,0600153,2017-18,16352.36,199924954.31,199924954.31,as-filed,127890671.87,35599395.45,,65142103.66,72553255.47,32037232.74,119505253.23,26433443.99,23860016.84,1232038.63,,,7841257.74,21052943.88,
alhambra-unified,district,Alhambra Unified,Los Angeles,Unified,1975713,0600153,2018-19,15966.72,210900295.93,210900295.93,as-filed,134854601,35422577.9,,66662427.65,82989598.93,33322448.39,125610304.09,27827669.96,25099767.24,1222591.79,,,8005848.65,23134114.2,
alhambra-unified,district,Alhambra Unified,Los Angeles,Unified,1975713,0600153,2019-20,15754.91,210924787.04,210924787.04,as-filed,131664390.91,40048489.09,,67271181.76,71474131.5,31151835.06,124939813.7,28571155.29,25173541.9,1266880.81,,,7332528.87,23640866.47,
alhambra-unified,district,Alhambra Unified,Los Angeles,Unified,1975713,0600153,2020-21,15754.91,208162779.25,208162779.25,as-filed,121529819.42,45179993.58,,79026132.07,82585387.34,48934731.43,126212695.7,26807282.39,21789978.97,698720.31,,,8141531.41,24419530.59,93039.88
alhambra-unified,district,Alhambra Unified,Los Angeles,Unified,1975713,0600153,2021-22,13823.82,233623756.8,233623756.8,as-filed,131697940.57,45200153.41,,103161228.63,76460960.97,52572587.55,135263734.7,30860400.64,28909196.54,1271657.8,,,10610414.39,26087917.17,620435.56
alhambra-unified,district,Alhambra Unified,Los Angeles,Unified,1975713,0600153,2022-23,14002.96,267633496.29,267633496.29,as-filed,139609295.26,50355078.21,,119714642.41,140274003.96,74853788.36,155960080.61,36000349.52,35638180.18,1728026.82,,,11584340.79,26722518.37,
alhambra-unified,district,Alhambra Unified,Los Angeles,Unified,1975713,0600153,2023-24,13966.36,283340386.4,283340386.4,as-filed,152479534,48412852,,106830813.99,104071890.95,71559535.68,159779876.76,38992710.93,39556732.69,1515336.86,,,12360274.11,31135455.05,
alhambra-unified,district,Alhambra Unified,Los Angeles,Unified,1975713,0600153,2024-25,13867.81,286358025.04,286358025.04,as-filed,142865455,51521785,,94225612.73,119080502.15,16948986.69,161674579.42,38007022.95,40726811.64,2071813.43,,,13767864.58,30109933.02,
alisal-union-elementary,district,Alisal Union Elementary,Monterey,Elementary,2765961,0601950,2016-17,8631,90981679.38,90981679.38,as-filed,77909798,10496573.99,-11122,9585076.07,12407559.15,12362937.45,62182060.09,11551297.13,5245000.24,200427.77,,390346.23,3737590.85,7674957.07,
alisal-union-elementary,district,Alisal Union Elementary,Monterey,Elementary,2765961,0601950,2017-18,8533.6,93264197.06,93264197.06,as-filed,79210799,11086716.2,-2685,10004800.41,16530851.28,12539775.38,59289131.16,16854174.51,3391570.28,193554.51,,2423.19,4167481.87,9365861.54,
alisal-union-elementary,district,Alisal Union Elementary,Monterey,Elementary,2765961,0601950,2018-19,8273.86,94752073.46,94752073.46,as-filed,83132016,11639118.91,-292736,10814543.8,15792547.67,12905477.97,61059017.89,17274528.46,4694450.31,188645.24,,-241058.42,3929923.22,7846566.76,
alisal-union-elementary,district,Alisal Union Elementary,Monterey,Elementary,2765961,0601950,2019-20,8219.23,99769114.09,99769114.09,as-filed,82090661,12468860.9,-305711,12647916.68,18011369.75,12462596.57,63671786.25,18531373.35,5399836.31,118364.45,,10973.41,3988471.32,8048309,
alisal-union-elementary,district,Alisal Union Elementary,Monterey,Elementary,2765961,0601950,2020-21,8219.23,110690922.26,110690922.26,as-filed,80488678,12927422.99,-284789,20116140.62,17511246.7,26700049.91,76070855.59,17266885.11,4967014.58,100963.02,,,4529802.71,7755401.25,
alisal-union-elementary,district,Alisal Union Elementary,Monterey,Elementary,2765961,0601950,2021-22,7154.12,112742021.71,112742021.71,as-filed,90883124,13832029.28,-37774.38,23427290.34,16640902.39,22596680.99,74505104.5,17274797,6995301.11,154472.7,,,4704558.12,9107788.28,
